iter	Passed	Remaining
0	1	1933
1	3	1779
2	5	1683
3	6	1626
4	8	1595
5	9	1637
6	11	1619
7	12	1602
8	14	1588
9	16	1603
10	17	1615
11	19	1610
12	20	1593
13	22	1578
14	23	1568
15	25	1560
16	26	1558
17	28	1554
18	30	1575
19	32	1575
20	33	1569
21	35	1569
22	37	1588
23	39	1591
24	40	1583
25	42	1584
26	43	1580
27	46	1606
28	48	1616
29	49	1610
30	51	1603
31	52	1595
32	54	1588
33	55	1582
34	57	1582
35	58	1578
36	60	1574
37	62	1569
38	63	1564
39	64	1559
40	66	1555
41	68	1551
42	69	1547
43	70	1542
44	72	1537
45	73	1532
46	75	1528
47	77	1527
48	78	1524
49	80	1520
50	81	1516
51	82	1512
52	84	1508
53	85	1506
54	87	1503
55	88	1498
56	90	1500
57	92	1497
58	93	1495
59	95	1492
60	96	1490
61	98	1490
62	100	1488
63	101	1485
64	103	1482
65	104	1479
66	106	1479
67	107	1476
68	109	1472
69	110	1469
70	112	1466
71	113	1464
72	115	1463
73	116	1460
74	118	1458
75	120	1463
76	122	1468
77	123	1455
78	125	1462
79	127	1465
80	129	1469
81	131	1473
82	133	1479
83	136	1491
84	139	1499
85	141	1506
86	144	1516
87	146	1521
88	149	1534
89	151	1536
90	154	1541
91	156	1545
92	158	1549
93	160	1551
94	163	1554
95	165	1557
96	167	1559
97	169	1559
98	170	1555
99	172	1552
100	174	1548
101	175	1544
102	176	1541
103	178	1537
104	179	1533
105	181	1531
106	182	1527
107	184	1523
108	185	1519
109	187	1516
110	188	1513
111	190	1510
112	192	1507
113	193	1503
114	195	1504
115	196	1501
116	198	1497
117	199	1494
118	201	1493
119	203	1490
120	204	1486
121	206	1482
122	207	1479
123	209	1477
124	210	1475
125	212	1471
126	213	1468
127	215	1465
128	216	1462
129	218	1459
130	219	1456
131	221	1458
132	223	1457
133	225	1455
134	227	1458
135	229	1457
136	230	1454
137	232	1452
138	234	1450
139	235	1448
140	237	1445
141	238	1443
142	240	1441
143	242	1441
144	243	1438
145	245	1435
146	246	1433
147	248	1430
148	250	1427
149	251	1425
150	253	1422
151	254	1420
152	255	1417
153	257	1415
154	259	1413
155	260	1410
156	262	1407
157	263	1405
158	265	1402
159	266	1399
160	268	1397
161	269	1394
162	271	1392
163	272	1389
164	273	1386
165	275	1383
166	277	1382
167	278	1379
168	280	1377
169	281	1374
170	283	1372
171	284	1369
172	286	1369
173	288	1368
174	290	1368
175	292	1371
176	294	1368
177	296	1367
178	297	1364
179	299	1362
180	300	1360
181	302	1357
182	303	1355
183	305	1353
184	306	1351
185	308	1348
186	309	1345
187	311	1343
188	312	1340
189	313	1338
190	315	1337
191	317	1335
192	318	1332
193	320	1330
194	321	1328
195	323	1325
196	324	1323
197	326	1321
198	327	1319
199	329	1316
200	330	1314
201	332	1312
202	333	1309
203	335	1308
204	336	1305
205	338	1303
206	339	1301
207	341	1299
208	342	1296
209	344	1295
210	346	1293
211	347	1291
212	348	1289
213	350	1286
214	351	1284
215	353	1282
216	354	1280
217	356	1278
218	357	1276
219	359	1274
220	361	1273
221	363	1273
222	365	1273
223	367	1273
224	369	1273
225	371	1273
226	374	1274
227	376	1275
228	379	1276
229	381	1276
230	383	1275
231	385	1276
232	388	1277
233	390	1277
234	392	1277
235	394	1277
236	397	1278
237	399	1278
238	401	1278
239	403	1277
240	405	1275
241	406	1273
242	409	1275
243	411	1275
244	413	1275
245	416	1277
246	418	1277
247	421	1276
248	422	1275
249	424	1273
250	426	1271
251	427	1269
252	429	1269
253	431	1268
254	433	1266
255	434	1263
256	436	1262
257	438	1260
258	439	1257
259	441	1255
260	442	1252
261	444	1250
262	445	1248
263	447	1246
264	448	1244
265	450	1242
266	451	1239
267	453	1237
268	454	1235
269	456	1233
270	457	1231
271	459	1228
272	460	1226
273	462	1224
274	463	1222
275	465	1220
276	466	1218
277	468	1215
278	469	1213
279	471	1211
280	472	1209
281	474	1207
282	475	1205
283	477	1203
284	478	1201
285	481	1201
286	482	1199
287	484	1198
288	486	1196
289	487	1194
290	489	1191
291	491	1191
292	493	1189
293	494	1187
294	496	1185
295	497	1183
296	499	1181
297	500	1179
298	504	1182
299	506	1181
300	507	1179
301	509	1177
302	510	1174
303	512	1173
304	513	1171
305	515	1168
306	517	1167
307	518	1164
308	520	1162
309	521	1161
310	523	1159
311	524	1157
312	526	1154
313	527	1152
314	529	1150
315	530	1148
316	532	1146
317	533	1144
318	535	1142
319	536	1140
320	538	1138
321	539	1136
322	541	1134
323	542	1132
324	544	1130
325	545	1128
326	547	1126
327	548	1124
328	550	1122
329	552	1121
330	554	1120
331	556	1119
332	558	1117
333	559	1115
334	561	1114
335	562	1112
336	564	1110
337	565	1108
338	567	1106
339	568	1103
340	570	1102
341	571	1099
342	573	1097
343	574	1095
344	576	1093
345	578	1092
346	580	1091
347	581	1089
348	583	1087
349	584	1085
350	586	1084
