iter	Passed	Remaining
0	251	251701
1	274	137035
2	290	96423
3	296	73866
4	302	60233
5	309	51333
6	316	44830
7	321	39916
8	326	35916
9	329	32668
10	334	30042
11	339	27945
12	343	26093
13	347	24478
14	352	23116
15	357	21967
16	361	20879
17	365	19940
18	370	19121
19	374	18343
20	378	17635
21	382	17007
22	387	16444
23	391	15903
24	394	15404
25	397	14899
26	401	14479
27	405	14082
28	409	13709
29	413	13366
30	418	13070
31	422	12766
32	425	12479
33	429	12211
34	434	11982
35	438	11742
36	442	11512
37	446	11295
38	450	11105
39	454	10911
40	458	10723
41	462	10554
42	467	10394
43	470	10230
44	474	10073
45	478	9930
46	483	9800
47	487	9664
48	491	9533
49	495	9417
50	499	9301
51	503	9182
52	507	9067
53	511	8962
54	515	8862
55	519	8759
56	523	8660
57	527	8563
58	531	8481
59	535	8391
60	539	8304
61	543	8219
62	548	8152
63	551	8071
64	555	7993
65	559	7917
66	564	7856
67	568	7785
68	571	7714
69	575	7645
70	580	7594
71	584	7528
72	587	7464
73	591	7402
74	595	7350
75	599	7290
76	603	7232
77	607	7175
78	612	7143
79	616	7093
80	620	7044
81	624	6996
82	629	6960
83	634	6914
84	638	6870
85	643	6835
86	647	6794
87	651	6753
88	655	6713
89	661	6691
90	666	6652
91	670	6614
92	675	6584
93	679	6551
94	683	6515
95	688	6481
96	693	6454
97	697	6417
98	701	6380
99	704	6344
100	709	6317
101	713	6283
102	717	6248
103	721	6214
104	726	6191
105	730	6161
106	734	6128
107	738	6096
108	744	6087
109	748	6056
110	752	6026
111	756	5999
112	760	5972
113	764	5943
114	768	5914
115	772	5890
116	777	5864
117	780	5836
118	784	5809
119	788	5785
120	794	5768
121	798	5744
122	802	5718
123	806	5699
124	810	5675
125	814	5650
126	818	5627
127	823	5609
128	827	5586
129	831	5563
130	835	5539
131	839	5523
132	843	5501
133	847	5478
134	851	5455
135	856	5441
136	860	5419
137	864	5398
138	868	5376
139	874	5369
140	878	5349
141	881	5328
142	885	5309
143	890	5291
144	894	5271
145	897	5251
146	902	5234
147	906	5215
148	909	5196
149	913	5177
150	917	5158
151	922	5145
152	926	5127
153	930	5109
154	934	5092
155	938	5078
156	942	5060
157	946	5043
158	950	5026
159	955	5016
160	959	5001
161	963	4984
162	969	4977
163	973	4961
164	977	4944
165	980	4927
166	985	4918
167	989	4902
168	993	4886
169	997	4870
170	1001	4857
171	1005	4841
172	1009	4825
173	1013	4810
174	1018	4799
175	1022	4784
176	1025	4769
177	1029	4754
178	1034	4743
179	1037	4728
180	1041	4712
181	1045	4697
182	1050	4688
183	1054	4675
184	1058	4663
185	1062	4649
186	1067	4640
187	1071	4626
188	1075	4613
189	1078	4599
190	1083	4590
191	1087	4577
192	1091	4564
193	1095	4551
194	1099	4540
195	1103	4527
196	1107	4514
197	1111	4501
198	1116	4492
199	1119	4479
200	1123	4467
201	1127	4454
202	1134	4452
203	1137	4440
204	1141	4427
205	1145	4416
206	1151	4409
207	1154	4397
208	1158	4385
209	1162	4374
210	1167	4364
211	1170	4352
212	1174	4340
213	1179	4330
214	1183	4319
215	1187	4308
216	1191	4297
217	1195	4287
218	1199	4276
219	1203	4265
220	1206	4254
221	1211	4244
222	1215	4235
223	1219	4224
224	1223	4213
225	1227	4203
226	1231	4194
227	1235	4183
228	1239	4173
229	1243	4163
230	1248	4154
231	1252	4144
232	1255	4133
233	1260	4124
234	1264	4116
235	1268	4105
236	1272	4095
237	1276	4087
238	1281	4081
239	1285	4072
240	1289	4062
241	1294	4054
242	1298	4044
243	1302	4034
244	1305	4024
245	1310	4016
246	1314	4007
247	1318	3997
248	1322	3987
249	1326	3978
250	1330	3969
251	1334	3960
252	1338	3950
253	1342	3942
254	1346	3933
255	1350	3924
256	1354	3915
257	1358	3906
258	1362	3898
259	1366	3889
260	1368	3875
261	1372	3866
262	1377	3859
263	1381	3850
264	1385	3841
265	1388	3832
266	1393	3825
267	1397	3816
268	1400	3806
269	1404	3797
270	1409	3791
271	1413	3782
272	1417	3773
273	1420	3764
274	1425	3758
275	1429	3749
276	1433	3741
277	1437	3732
278	1442	3726
279	1445	3718
280	1449	3709
281	1453	3700
282	1458	3695
283	1462	3686
284	1466	3678
285	1469	3669
286	1474	3663
287	1478	3655
288	1482	3646
289	1484	3633
290	1488	3626
291	1492	3618
292	1496	3610
293	1500	3602
294	1504	3594
295	1508	3587
296	1512	3579
297	1516	3571
298	1520	3564
299	1526	3561
300	1530	3553
301	1533	3545
302	1538	3538
303	1542	3531
304	1546	3523
305	1550	3515
306	1554	3508
307	1558	3501
308	1562	3493
309	1566	3485
310	1570	3478
311	1574	3471
312	1578	3463
313	1581	3456
314	1585	3448
315	1589	3441
316	1593	3433
317	1597	3425
318	1601	3417
319	1605	3412
320	1609	3404
321	1613	3397
322	1617	3390
323	1622	3384
324	1626	3377
325	1629	3369
326	1633	3362
327	1638	3357
328	1642	3350
329	1646	3342
330	1650	3335
331	1655	3330
332	1658	3322
333	1662	3315
334	1666	3308
335	1671	3303
336	1675	3295
337	1680	3290
338	1684	3284
339	1688	3277
340	1692	3270
341	1696	3263
342	1700	3256
343	1704	3250
344	1708	3243
345	1712	3236
346	1716	3230
347	1720	3224
348	1724	3217
349	1728	3210
350	1732	3203
351	1736	3197
352	1740	3190
353	1744	3183
354	1749	3177
355	1753	3172
356	1757	3165
357	1761	3158
358	1765	3152
359	1770	3146
360	1774	3140
361	1778	3133
362	1782	3127
363	1786	3120
364	1790	3114
365	1793	3107
366	1798	3101
367	1802	3095
368	1806	3088
369	1810	3082
370	1814	3076
371	1818	3070
372	1822	3063
373	1826	3057
374	1831	3051
375	1835	3045
376	1839	3039
377	1843	3032
378	1847	3027
379	1851	3020
380	1855	3014
381	1859	3007
382	1863	3002
383	1867	2996
384	1871	2989
385	1875	2982
386	1879	2977
387	1883	2970
388	1887	2964
389	1891	2957
390	1895	2951
391	1899	2946
392	1903	2940
393	1907	2933
394	1911	2927
395	1915	2922
