Epsilon,Accuracy,AUC
,,10.451302345765265
0.08994174175879395,0.0058,
0.1798834835175879,0.0132,
0.26982522527638186,0.0196,
0.3597669670351758,0.0258,
0.44970870879396974,0.0302,
0.5396504505527637,0.0366,
0.6295921923115576,0.0434,
0.7195339340703516,0.0508,
0.8094756758291456,0.0566,
0.8994174175879395,0.0622,
0.9893591593467335,0.0684,
1.0793009011055275,0.0738,
1.1692426428643214,0.0808,
1.2591843846231152,0.09,
1.3491261263819092,0.0946,
1.4390678681407032,0.1002,
1.5290096098994972,0.1066,
1.6189513516582912,0.1138,
1.708893093417085,0.1186,
1.798834835175879,0.126,
1.888776576934673,0.1318,
1.978718318693467,0.1386,
2.068660060452261,0.1462,
2.158601802211055,0.1516,
2.248543543969849,0.1582,
2.338485285728643,0.1644,
2.4284270274874364,0.1708,
2.5183687692462304,0.1776,
2.6083105110050244,0.1816,
2.6982522527638184,0.189,
2.7881939945226124,0.1958,
2.8781357362814064,0.2014,
2.9680774780402004,0.2094,
3.0580192197989944,0.2168,
3.1479609615577884,0.2232,
3.2379027033165824,0.23,
3.3278444450753764,0.2372,
3.41778618683417,0.243,
3.507727928592964,0.25,
3.597669670351758,0.2568,
3.687611412110552,0.2634,
3.777553153869346,0.2692,
3.86749489562814,0.2752,
3.957436637386934,0.2806,
4.047378379145727,0.2876,
4.137320120904522,0.2934,
4.227261862663315,0.2992,
4.31720360442211,0.3056,
4.407145346180903,0.3132,
4.497087087939698,0.32,
4.587028829698491,0.3266,
4.676970571457286,0.334,
4.766912313216079,0.3406,
4.856854054974873,0.3468,
4.946795796733667,0.352,
5.036737538492461,0.3594,
5.126679280251255,0.3656,
5.216621022010049,0.373,
5.306562763768843,0.3788,
5.396504505527637,0.3836,
5.486446247286431,0.3906,
5.576387989045225,0.398,
5.666329730804019,0.405,
5.756271472562813,0.4126,
5.846213214321606,0.4172,
5.936154956080401,0.4218,
6.026096697839194,0.4272,
6.116038439597989,0.4346,
6.205980181356782,0.442,
6.295921923115577,0.447,
6.38586366487437,0.4536,
6.475805406633165,0.4596,
6.565747148391958,0.4646,
6.655688890150753,0.4708,
6.745630631909546,0.4758,
6.83557237366834,0.4838,
6.925514115427134,0.491,
7.015455857185928,0.4964,
7.105397598944722,0.5026,
7.195339340703516,0.509,
7.28528108246231,0.5144,
7.375222824221104,0.5222,
7.465164565979898,0.5286,
7.555106307738692,0.5334,
7.645048049497486,0.5358,
7.73498979125628,0.54,
7.824931533015073,0.5446,
7.914873274773868,0.5536,
8.004815016532662,0.5598,
8.094756758291455,0.5642,
8.18469850005025,0.5704,
8.274640241809044,0.5774,
8.364581983567838,0.5838,
8.45452372532663,0.5884,
8.544465467085425,0.5932,
8.63440720884422,0.5984,
8.724348950603012,0.605,
8.814290692361807,0.6092,
8.904232434120601,0.6134,
8.994174175879396,0.6172,
9.084115917638188,0.6222,
9.174057659396983,0.629,
9.263999401155777,0.6334,
9.353941142914572,0.6396,
9.443882884673364,0.6472,
9.533824626432159,0.6524,
9.623766368190953,0.657,
9.713708109949746,0.662,
9.80364985170854,0.6692,
9.893591593467335,0.6748,
9.983533335226129,0.6816,
10.073475076984922,0.6864,
10.163416818743716,0.6932,
10.25335856050251,0.7,
10.343300302261305,0.7066,
10.433242044020098,0.7124,
10.523183785778892,0.719,
10.613125527537687,0.7246,
10.70306726929648,0.7328,
10.793009011055274,0.7388,
10.882950752814068,0.7442,
10.972892494572863,0.7482,
11.062834236331655,0.7544,
11.15277597809045,0.7584,
11.242717719849244,0.7628,
11.332659461608038,0.7676,
11.422601203366831,0.7726,
11.512542945125626,0.7788,
11.60248468688442,0.7862,
11.692426428643213,0.7914,
11.782368170402007,0.7994,
11.872309912160802,0.8042,
11.962251653919596,0.8092,
12.052193395678389,0.8148,
12.142135137437183,0.8206,
12.232076879195978,0.825,
12.322018620954772,0.8282,
12.411960362713565,0.8338,
12.501902104472359,0.8384,
12.591843846231153,0.8452,
12.681785587989946,0.8508,
12.77172732974874,0.8554,
12.861669071507535,0.861,
12.95161081326633,0.8668,
13.041552555025122,0.8704,
13.131494296783917,0.8734,
13.221436038542711,0.8756,
13.311377780301505,0.879,
13.401319522060298,0.8818,
13.491261263819093,0.8858,
13.581203005577887,0.8886,
13.67114474733668,0.8904,
13.761086489095474,0.8936,
13.851028230854268,0.8966,
13.940969972613063,0.8988,
14.030911714371856,0.9016,
14.12085345613065,0.903,
14.210795197889444,0.9056,
14.300736939648239,0.908,
14.390678681407032,0.9114,
14.480620423165826,0.9148,
14.57056216492462,0.9182,
14.660503906683413,0.9206,
14.750445648442208,0.923,
14.840387390201002,0.9258,
14.930329131959796,0.9286,
15.020270873718589,0.9304,
15.110212615477383,0.9324,
15.200154357236178,0.9362,
15.290096098994972,0.938,
15.380037840753765,0.9408,
15.46997958251256,0.9426,
15.559921324271354,0.9444,
15.649863066030147,0.9468,
15.739804807788941,0.9492,
15.829746549547735,0.9526,
15.91968829130653,0.9558,
16.009630033065324,0.9578,
16.099571774824117,0.9602,
16.18951351658291,0.9638,
16.279455258341706,0.966,
16.3693970001005,0.9676,
16.45933874185929,0.9696,
16.549280483618087,0.9722,
16.63922222537688,0.9746,
16.729163967135676,0.9776,
16.81910570889447,0.982,
16.90904745065326,0.9848,
16.998989192412058,0.9876,
17.08893093417085,0.9898,
17.178872675929643,0.9912,
17.26881441768844,0.9932,
17.358756159447232,0.9952,
17.448697901206025,0.9964,
17.53863964296482,0.9974,
17.628581384723613,0.998,
17.71852312648241,0.9986,
17.808464868241202,0.9994,
17.898406609999995,1.0,
