iter	Passed	Remaining
0	46	33718
1	96	34643
2	143	34331
3	192	34564
4	243	34891
5	294	35086
6	350	35778
7	397	35421
8	445	35266
9	491	34919
10	536	34602
11	581	34335
12	625	34090
13	673	33994
14	734	34547
15	791	34889
16	838	34733
17	886	34627
18	934	34530
19	980	34378
20	1027	34263
21	1073	34120
22	1117	33926
23	1162	33748
24	1206	33583
25	1250	33427
26	1295	33294
27	1339	33151
28	1384	33042
29	1429	32933
30	1473	32801
31	1518	32704
32	1563	32593
33	1608	32500
34	1652	32379
35	1695	32264
36	1739	32158
37	1796	32287
38	1855	32440
39	1901	32375
40	1947	32294
41	1993	32234
42	2038	32137
43	2084	32074
44	2130	32002
45	2174	31906
46	2219	31823
47	2264	31752
48	2311	31705
49	2357	31631
50	2401	31551
51	2445	31463
52	2491	31406
53	2541	31393
54	2585	31304
55	2630	31238
56	2677	31195
57	2723	31129
58	2768	31065
59	2813	30994
60	2873	31095
61	2930	31144
62	2976	31092
63	3021	31019
64	3067	30962
65	3113	30903
66	3159	30840
67	3206	30796
68	3253	30741
69	3302	30712
70	3349	30663
71	3395	30610
72	3442	30554
73	3490	30516
74	3539	30485
75	3586	30439
76	3632	30380
77	3678	30325
78	3724	30263
79	3772	30228
80	3817	30165
81	3863	30107
82	3916	30107
83	3979	30180
84	4034	30187
85	4083	30150
86	4130	30097
87	4176	30043
88	4232	30054
89	4295	30113
90	4346	30092
91	4399	30078
92	4455	30086
93	4509	30077
94	4569	30110
95	4631	30153
96	4686	30145
97	4744	30160
98	4795	30127
99	4843	30077
100	4894	30044
101	4952	30053
102	5016	30096
103	5088	30185
104	5162	30286
105	5220	30290
106	5274	30267
107	5328	30246
108	5381	30217
109	5438	30209
110	5486	30151
111	5532	30083
112	5577	30011
113	5621	29934
114	5667	29866
115	5713	29799
116	5756	29718
117	5801	29646
118	5845	29573
119	5887	29486
120	5929	29400
121	5974	29331
122	5974	29049
123	6018	28978
124	6073	28960
125	6130	28950
126	6180	28907
127	6226	28846
128	6271	28781
129	6317	28721
130	6361	28649
131	6403	28572
132	6448	28509
133	6497	28463
134	6540	28392
135	6584	28323
136	6629	28261
137	6673	28193
138	6716	28121
139	6761	28060
140	6805	27996
141	6849	27930
142	6897	27879
143	6942	27817
144	6987	27758
145	7030	27690
146	7076	27631
147	7120	27568
148	7178	27557
149	7231	27527
150	7279	27479
151	7324	27420
152	7369	27357
153	7412	27292
154	7456	27229
155	7501	27169
156	7545	27106
157	7546	26890
158	7589	26826
159	7633	26764
160	7678	26708
161	7722	26648
162	7768	26592
163	7812	26534
164	7856	26474
165	7899	26410
166	7943	26352
167	7988	26294
168	8031	26232
169	8075	26175
170	8118	26111
171	8162	26053
172	8210	26006
173	8269	25997
174	8321	25963
175	8365	25904
176	8409	25846
177	8455	25793
178	8500	25738
179	8543	25678
180	8589	25625
181	8632	25566
182	8677	25510
183	8721	25453
