memory_usage,storage_usage,workload,Resource Allocation,,,cpu_utilization
65.73974229,81.20214901,100,76.39805121,,,93.66765624
45.77123193,56.17807927,96.20152953,52.78374657,,,
85.53722067,61.59441124,100,71.69988893,,,66.27028288
55.49200838,100.4197472,100,69.45680453,,,50.30558993
77.33934167,60.44644384,100,66.62497735,,,58.56795372
52.18488363,68.62151922,75.66603749,46.66322086,,,7.462297527
46.50975197,100.466308,76.38433,55.94292097,,,13.15154315
,92.31686532,99.19185774,59.8509358,,,54.37481274
54.64118905,69.61672985,100,60.4080614,,,55.41818326
28.17557596,60.47730859,100,54.16710216,,,85.79118741
8.196460545,72.72959795,91.50393218,,,,56.69768445
31.1550322,78.54633391,77.59326789,43.60258068,,,13.9602514
,90.71770797,52.76222844,47.60721506,,,15.21769436
52.37336881,56.17885483,99.1690402,58.44852192,,,70.19360512
73.65095074,57.17280249,100,,,,
72.92429469,,95.37454319,73.48310476,,,32.26617855
39.13726644,82.88173875,100,62.09942156,,,70.51591709
63.10392176,75.35460389,100,73.79965844,,,94.70648582
33.6014448,82.81567155,64.31356851,47.15527752,,,25.8795298
85.6006266,73.26148524,99.84107905,70.36464025,,,42.64394775
,53.90614013,55.98245183,,,,23.51057572
43.50077493,54.43198805,77.29073671,45.1087871,,,35.38774697
71.28103535,,100,,,,82.21981608
66.09798061,102.5339019,81.77620405,69.40757206,,,36.54314474
59.22835182,,100,64.79380892,,,54.84665842
29.74164302,71.15325262,97.39401598,55.86999279,,,76.2112181
40.43863583,88.42971769,71.10766642,,,,
37.00339693,94.72173542,99.63826376,,,,91.75543412
41.96307608,75.45245053,62.80518382,45.39611212,,,14.81719246
,85.84667742,80.20462773,52.66624689,,,36.783184
52.77978963,79.68013145,77.82182597,57.30323198,,,38.712437
40.23281973,47.31648274,100,49.1016443,,,60.51535713
11.29036046,80.76929359,82.89424431,,,,39.43846721
47.64408717,70.81716952,80.71150079,48.57882368,,,18.76315003
52.99892247,97.27641184,74.64377431,62.99260199,,,40.55192366
46.67544103,95.34872529,100,64.33133342,,,49.31157523
7.322800414,90.87360487,64.10921411,40.67439592,,,29.52820303
62.16652431,44.21899287,100,57.85174046,,,67.98059147
39.48144484,42.9753118,100,47.43081321,,,60.30600554
42.00102802,86.32560985,100,66.20592962,,,
18.14895681,,55.72727564,46.47779687,,,17.20386873
37.0304349,88.88253983,100,68.24122045,,,93.79719581
60.48700575,96.23588145,100,74.60565537,,,72.03036671
76.30555449,,100,75.57230651,,,87.04626227
9.353862794,91.95294316,59.79023152,,,,32.70429957
92.95303396,49.49663136,92.55367609,59.50382731,,,17.51354813
29.64429428,92.35813946,100,65.0961443,,,86.78808042
60.15778807,66.69934287,100,69.09884189,,,
,81.48456447,100,55.77443129,,,
82.46700822,71.97477132,100,73.98460305,,,66.93886548
29.25611979,73.42935242,100,57.81878569,,,
46.8523927,43.86664272,92.58003784,,,,46.21963685
59.11526321,47.60968254,88.63388574,48.98378559,,,31.92221119
,73.71707475,82.14930987,67.84633515,,,36.29381717
44.37729545,71.97476691,82.55973123,47.9833016,,,19.21936366
80.90094442,61.23498108,100,64.32789312,,,40.28842349
58.00988857,78.28825555,85.69784665,58.06979166,,,31.87872922
49.61001079,75.28983985,93.75851507,59.13522638,,,52.46377942
83.55530983,,82.90952642,59.21698355,,,28.41235118
37.64887746,103.4832182,72.96935427,52.26848592,,,
11.25546981,,85.56688589,,,,41.67041844
42.40643761,83.39529378,100,62.52627522,,,65.98314532
48.02134598,61.99144922,72.37352672,41.39354198,,,1.279584316
40.94278887,70.06461001,84.62896444,,,,47.8036465
66.70651335,78.81604324,87.51868517,64.15731111,,,43.69900615
15.9310666,76.53031012,90.04934968,52.09234787,,,
67.69078516,87.39442081,100,75.20515306,,,75.3635043
19.39408625,93.28886338,95.98530956,54.65295753,,,56.21154958
,97.69423029,100,79.49967338,,,97.22519575
79.34789214,91.37930862,100,,,,74.47866283
40.69867293,53.17321855,100,52.40455122,,,66.45273022
42.77314968,91.24547008,73.83329695,57.14296374,,,40.2065072
69.66704827,108.7404642,90.72502477,69.64148986,,,18.20848694
50.65298587,76.09587756,100,63.49878248,,,67.13623201
62.96952234,60.53613205,80.56796256,,,,13.25651142
53.9212808,78.37173955,73.21435428,,,,20.05403385
50.89285625,48.30607172,89.37215947,46.7401378,,,34.15359434
49.61001079,75.28983985,80.80003856,57.8974361,,,52.46377942
42.14305859,,100,,,,86.65653116
33.45647675,97.33422835,93.25086113,63.1533774,,,66.83475116
15.33907965,97.89272138,80.17169095,46.72388808,,,26.21432464
20.94184203,61.9158135,91.04962545,42.14797646,,,43.64126004
61.77382375,88.12040353,84.90018668,,,,28.51575874
13.636065,85.55169073,51.87199381,39.25505246,,,25.24274258
54.75199904,63.72925594,71.83835958,48.88877231,,,22.43827994
,79.59589447,84.24293684,54.09310602,,,27.98362477
47.38146576,,96.31980283,61.25872833,,,67.90817013
59.41791894,88.14256301,100,75.77627314,,,91.46064886
42.077954,64.14040289,100,62.73888644,,,96.28473529
74.37692201,69.05304083,100,65.93024415,,,47.87395038
60.15773431,54.68059128,85.04412211,52.24458994,,,36.1878913
57.13951767,63.89170808,83.70956226,54.95426654,,,41.11651118
58.43617275,87.47368908,100,69.83077376,,,66.19976677
11.39505361,71.27295468,70.9810626,36.18909428,,,27.34013135
50.59556524,65.75622525,94.96192405,61.30376467,,,74.32939853
10.67379326,73.69106721,86.1535495,40.28769131,,,37.60509294
31.47540833,61.44995624,100,,,,91.41570795
76.59845138,91.57491147,100,73.99761383,,,47.85495957
44.03174866,80.29481743,100,63.51595791,,,
69.95831882,87.36226379,100,76.62025687,,,78.18598498
89.97318118,81.48483865,100,73.66326693,,,38.28147241
36.79251435,63.72697072,100,58.28326811,,,85.0674321
59.52503733,87.43796927,67.77852525,58.9612255,,,27.83434779
32.17321105,84.95351117,79.88683014,49.3542416,,,28.76894936
,58.73771796,85.16328017,,,,65.88966289
49.61001079,75.28983985,92.59500051,59.03009566,,,52.46377942
26.96536253,89.96607006,93.28132398,59.05492411,,,69.91399192
61.64002904,93.32211976,98.93908325,,,,59.26405617
83.56062667,65.04307707,100,72.75131034,,,69.64483127
61.04959609,68.77801363,100,64.68732613,,,65.36985489
30.44822461,80.62130983,79.40083826,49.46958995,,,38.80799812
74.26041379,102.8010314,100,86.23670145,,,92.76473668
67.27280859,103.2713661,100,76.9478693,,,60.8402334
49.61001079,75.28983985,272.0350471,,,,156.3729193
51.29712144,94.38332746,100,70.84884489,,,73.09567071
74.88413461,81.52134533,73.16730967,60.27844935,,,13.68043178
30.98346173,84.12906388,67.09219361,44.62910825,,,15.63867636
53.59020717,82.83178425,87.52262295,58.68379433,,,34.81574021
47.7143688,67.30119717,91.37382491,48.29896653,,,17.84214361
34.92683895,60.68907974,100,52.46170272,,,65.59735333
14.05252762,54.91904814,100,47.59420086,,,87.79305856
57.27873055,67.20748563,100,70.04616074,,,99.58057787
54.16360385,69.298032,86.77932311,56.07265059,,,42.02783897
33.28511106,50.56802448,66.51649782,32.94462488,,,6.908641788
80.78356331,,100,68.45543834,,,78.66841514
,101.3244186,100,85.16654546,,,83.2752927
61.58533881,54.29183804,98.59763788,54.52582703,,,38.96268179
,58.27408823,100,58.91172395,,,66.3943733
84.93372483,40.44854026,100,63.56922858,,,60.83280544
55.64371452,90.14652907,99.43194397,67.6977629,,,57.30270278
78.89081085,78.9036566,77.1428153,58.62376457,,,1.016858201
32.86041837,96.59170885,99.37811222,58.51726005,,,
25.03512982,58.91948801,100,46.03738113,,,55.24137232
47.5682261,,78.02985577,50.85021636,,,25.58032068
38.07247198,,100,67.78794539,,,81.43230713
13.65231772,,92.18232889,53.4885934,,,83.16529981
62.02882536,67.9023693,100,58.70044838,,,36.9037181
39.16416206,86.10998758,82.29865993,51.77420115,,,
51.18675091,50.29197633,100,56.84953922,,,73.46698783
67.53349953,65.93109864,91.13339437,63.4407751,,,56.41931752
25.95393758,88.61559191,100,57.40269704,,,62.60660279
64.47113588,73.28556196,98.36212369,69.64490251,,,76.79344513
,88.42789784,79.14921882,58.86319062,,,
68.60476453,69.30520982,100,66.07527618,,,57.97838177
12.07934484,74.61345688,79.67436309,40.6880768,,,38.60823749
63.92247981,85.81847732,99.98934516,71.95730554,,,69.23825928
31.67990818,71.20957195,96.28691249,56.25934343,,,75.01067825
60.92055965,93.47810716,100,69.96838002,,,53.7053894
26.8754035,91.48914168,92.534665,,,,60.45373382
54.90526094,101.5143384,99.76460766,71.27399182,,,58.33707612
42.30117353,66.98982037,90.59505845,56.73449075,,,67.67489379
49.61001079,,96.00861381,59.3346756,,,52.46377942
,75.28983985,94.62090659,59.26350274,,,52.46377942
11.75030526,61.62932546,100,44.84095674,,,
,92.28808409,100,,,,65.23021563
51.87746851,,100,66.98251705,,,75.94609593
13.25927843,50.25959836,61.63919894,28.20985286,,,22.28863313
38.79304201,70.21509504,100,61.05500137,,,84.86831805
81.8300091,72.69002307,100,72.25808757,,,58.82051582
64.072795,90.40392656,100,72.42506995,,,64.35441397
15.85536889,,100,55.86493226,,,98.53900784
25.66582367,,84.74764544,56.83451109,,,65.43102067
84.61733134,90.75446206,100,78.1779924,,,
48.45877728,70.59423836,92.55624363,56.11972998,,,47.80984774
56.17818782,,100,69.89849376,,,80.43524743
79.19419432,47.50757865,94.24924979,58.15516667,,,37.47872813
20.75941928,73.78879071,62.63128999,41.84135373,,,
52.08998311,78.49618426,90.26364176,60.99054727,,,53.53936323
90.00832252,,100,66.44945328,,,58.60920686
,65.64936796,86.72000502,63.10326998,,,41.79098016
70.76814568,51.25814604,76.06540007,,,,21.15400383
49.61001079,75.28983985,272.0350471,98.26283069,,,156.3729193
75.04184062,61.18483431,93.95187068,64.27002024,,,53.14418475
40.68299996,94.02041375,71.97704907,57.77872903,,,43.39946523
61.28181843,73.92296377,79.50500444,58.89409941,,,39.17290839
19.29441061,,100,57.86356411,,,
40.70635568,85.87761401,72.61135592,,,,32.60338832
26.4035935,88.47615613,79.6904152,52.90913615,,,50.17857394
74.79094839,79.87011488,100,75.11286635,,,73.82746223
47.56905273,60.79251352,98.01478012,55.78766122,,,59.97306562
55.76309291,,76.1062061,59.21663478,,,26.97955783
38.09328451,62.61791669,97.8370625,50.41488556,,,48.66212945
29.63359699,95.90587173,83.16827015,53.5059924,,,34.75856081
42.11847511,95.57006822,100,63.60033969,,,53.33953077
,78.81512522,100,62.82382434,,,78.32343854
66.11910939,67.94027257,100,67.36517987,,,70.41480131
16.47833894,61.00965575,91.16304582,42.85428499,,,56.13062867
,92.04678177,100,77.58986766,,,92.97676214
38.82115941,78.82407365,100,62.10663541,,,76.87517219
56.45365898,,100,63.75481843,,,52.01686925
39.46111229,,84.65726575,57.16226656,,,27.15504165
49.61001079,75.28983985,100,59.73488717,,,52.46377942
22.18887228,78.65611303,85.82365214,48.77915886,,,50.12556384
58.72022444,88.69850959,96.9847924,62.69810232,,,31.83813457
